"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 18:10:03 TRT 2024","Wed Feb 14 18:10:06 TRT 2024","2900","","tests.ApiTests","","tests.ApiTests","deleteBookingWithBookingId","deleteBookingWithBookingId",""
"passed","Wed Feb 14 18:10:00 TRT 2024","Wed Feb 14 18:10:03 TRT 2024","3712","","tests.ApiTests","","tests.ApiTests","newBookingFirstNameControlApiTest","newBookingFirstNameControlApiTest",""
